"Name","Gross Export","Share","Code","Sector"
"Animals of the bovine species (including buffaloes), live","361139648","0.14401641442982918","0011","Food"
"Swine, live","6548938","0.0026116062700577715","0013","Food"
"Poultry, live","83459600","0.03328228403697112","0014","Food"
"Equine species, live","8950530","0.003569320746102679","0015","Food"
"Bovine meat, fresh, chilled or frozen","6021506048","2.401275283129508","0111","Food"
"Meat of sheep and goats, fresh, chilled or frozen","2894947","0.0011544561479563458","0112","Food"
"Pig meat fresh, chilled or frozen","1406214784","0.5607747923315711","0113","Food"
"Poultry, dead and edible offal, fresh, chilled or frozen","6160452608","2.4566848330899687","0114","Food"
"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen","5797948","0.0023121240955814386","0115","Food"
"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen","494715136","0.19728407126011627","0116","Food"
"Other fresh, chilled or frozen meat or edible meat offal","189172","0.00007543861024785526","0118","Food"
"Bacon, ham, other dried, salted or smoked meat of domestic swine","874207","0.00034861904060297936","0121","Food"
"Meat and edible meat offal, nes, in brine, dried, salted or smoked","295439552","0.11781632173434213","0129","Food"
"Meat extracts and juices; fish extracts","32409284","0.012924277081640264","0141","Food"
"Sausages and the like, of meat, meat offal or animal blood","110588040","0.04410064939649752","0142","Food"
"Other prepared or preserved meat or meat offal","804900352","0.320980715660296","0149","Food"
"Milk and cream fresh, not concentrated or sweetened","14654291","0.0058438846510458905","0223","Food"
"Milk and cream, preserved, concentrated or sweetened","27506078","0.010968961039102543","0224","Food"
"Butter","1835104","0.0007318085944023439","0230","Food"
"Cheese and curd","18047140","0.007196895737997583","0240","Food"
"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell","60235900","0.024021063281187412","0251","Food"
"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell","5181579","0.0020663265105273065","0252","Food"
"Fish, fresh or chilled, excluding fillet","45070876","0.017973506904263917","0341","Food"
"Fish, frozen, excluding fillets","96760904","0.03858662024023714","0342","Food"
"Fish fillets, fresh or chilled","5096653","0.002032459450846649","0343","Food"
"Fish fillets, frozen","4171595","0.0016635618871550855","0344","Food"
"Fish, dried, salted or in brine; smoked fish","34008928","0.013562188190320831","0350","Food"
"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc","90383096","0.03604325773443473","0360","Food"
"Fish, prepared or preserved, nes","14079055","0.005614490214213086","0371","Food"
"Crustaceans and molluscs, prepared or prepared, nes","460807","0.0001837620772232859","0372","Food"
"Durum wheat, unmilled","5080520","0.00202602588192985","0411","Food"
"Other wheat and meslin, unmilled","105155256","0.04193414655920244","0412","Food"
"Rice in the husk or husked, but not farther prepared","75496640","0.0301067895882194","0421","Food"
"Rice, semi-milled or wholly milled","284995456","0.11365139200089751","0422","Food"
